0	1	date	formato
-106.3474475	31.6387078	2000-08-01	TIENDA COPPEL
-100.3139557	25.6759947	2000-11-01	TIENDA COPPEL
-98.4340767	19.2806536	2000-04-01	TIENDA COPPEL
-116.6224673	31.8658668	2000-09-01	TIENDA COPPEL
-101.6826359	21.1211701	2000-05-01	TIENDA COPPEL
-100.8134565	20.5246954	2000-10-01	TIENDA COPPEL
-99.0152174	21.9844646	2000-08-01	TIENDA COPPEL
-100.3406277	25.7418167	2000-09-01	TIENDA COPPEL
-8.5441729	42.8768606	2001-09-01	TIENDA COPPEL
-100.3184957	25.6725025	2000-11-01	TIENDA COPPEL
-100.1467898	25.6704445	2000-10-01	TIENDA COPPEL
-100.3801727	25.7733062	2000-10-01	TIENDA COPPEL
-109.4481322	27.0786188	2000-10-01	TIENDA COPPEL
-92.9649469	17.9887045	2013-09-19	TIENDA COPPEL
-101.2771791	21.0144265	2000-12-01	TIENDA COPPEL
-98.3143147	26.0760226	2000-12-01	TIENDA COPPEL
-99.5160657	27.4477724	2001-11-01	TIENDA COPPEL
-99.5153999	27.4628401	2001-11-01	TIENDA COPPEL
-97.3925871	18.4619893	2001-05-01	TIENDA COPPEL
-103.4665142	25.5345841	2001-04-01	TIENDA COPPEL
-103.4033096	25.5067186	2001-04-01	TIENDA COPPEL
-104.6318384	24.0430684	2001-04-01	TIENDA COPPEL
-103.4409927	20.6590841	2001-09-01	TIENDA COPPEL
-109.947615	27.485071	2001-11-01	TIENDA COPPEL
-99.2373451	18.92571	2002-07-01	TIENDA COPPEL
-102.1931401	17.9576941	2002-11-01	TIENDA COPPEL
-100.2942378	25.6296093	2001-04-01	TIENDA COPPEL
-100.2307907	25.6805777	2001-09-01	TIENDA COPPEL
-100.1517624	25.6694984	2001-04-01	TIENDA COPPEL
-97.1046336	18.8459723	2001-04-01	TIENDA COPPEL
-100.2027983	25.7241043	2001-11-01	TIENDA COPPEL
-98.2282089	18.9964632	2001-07-01	TIENDA COPPEL
-106.1292311	28.7051004	2001-07-01	TIENDA COPPEL
-104.8797594	21.4945189	2001-05-01	TIENDA COPPEL
-106.3560371	31.6500711	2002-06-01	TIENDA COPPEL
-94.5453227	17.9844166	2002-04-01	TIENDA COPPEL
-103.3955556	20.6568141	2001-10-01	TIENDA COPPEL
-109.7009803	23.0604568	2001-12-01	TIENDA COPPEL
-103.8717337	18.9105605	2001-10-01	TIENDA COPPEL
-104.0471165	20.5465071	2002-02-01	TIENDA COPPEL
-100.35564	25.718374	2007-12-13	TIENDA COPPEL
-105.6661806	26.9323712	2002-04-01	TIENDA COPPEL
-106.4316613	31.656251	2002-06-01	TIENDA COPPEL
-99.2084286	19.6480767	2002-08-01	TIENDA COPPEL
-99.2349951	19.4714928	2002-12-01	TIENDA COPPEL
-103.3212248	20.6243088	2002-05-01	TIENDA COPPEL
-97.4809311	25.8645775	2002-11-01	TIENDA COPPEL
-98.1468289	19.0710055	2002-08-01	TIENDA COPPEL
-93.2241537	18.2638358	2002-05-01	TIENDA COPPEL
-102.3549146	19.0838427	2002-07-01	TIENDA COPPEL
-97.8654542	22.2505772	2002-06-01	TIENDA COPPEL
-99.2174168	19.3594557	2003-06-01	TIENDA COPPEL
-96.1414635	19.1931208	2002-11-01	TIENDA COPPEL
-92.9197002	17.9980722	2002-10-01	TIENDA COPPEL
